diacritical_marks_vietnamese,no_accents_mark_vietnamese
Và tại sao tôi phải làm điều đó?,Va tai sao toi phai lam dieu do?
Các loài động vật là bạn của chúng ta.,Cac loai dong vat la ban cua chung ta.
Anh cũng là người mới à?,Anh cung la nguoi moi a?
Bạn có giỏi chơi bowling không?,Ban co gioi choi bowling khong?
Bạn thật sự là người Canada à?,Ban that su la nguoi Canada a?
Bạn có thật là người Canada không?,Ban co that la nguoi Canada khong?
Bạn đang nói về tôi à?,Ban dang noi ve toi a?
Bạn vẫn đang ở trường à?,Ban van dang o truong a?
Phóng hoả là một hành động phạm pháp.,Phong hoa la mot hanh dong pham phap.
Tôi có thể bắt taxi ở đây không?,Toi co the bat taxi o day khong?
Tôi có thể đợi Tom ở đây được không?,Toi co the doi Tom o day duoc khong?
Hãy tiếp tục công việc.,Hay tiep tuc cong viec.
Tiếp tục công việc đi.,Tiep tuc cong viec di.
Hãy làm tiếp công việc đi.,Hay lam tiep cong viec di.
Hãy làm việc tiếp đi.,Hay lam viec tiep di.
Bạn cho tôi mượn một cái bút chì có được không?,Ban cho toi muon mot cai but chi co duoc khong?
Bạn đến đây một mình sao?,Ban den day mot minh sao?
Điều ước của bạn đã thành hiện thực chưa?,Dieu uoc cua ban da thanh hien thuc chua?
Điều ước của bạn đã trở thành sự thật chưa?,Dieu uoc cua ban da tro thanh su that chua?
Bạn có biết ai làm cái này không?,Ban co biet ai lam cai nay khong?
Bạn có biết ai nấu món này không?,Ban co biet ai nau mon nay khong?
Bạn có cần ô không?,Ban co can o khong?
Bạn cần ô không?,Ban can o khong?
Bạn có cần dù không?,Ban co can du khong?
Bạn có muốn cái này hay không?,Ban co muon cai nay hay khong?
Bạn có xem TV không?,Ban co xem TV khong?
Bạn có xem ti vi không?,Ban co xem ti vi khong?
Xin đừng quên vé.,Xin dung quen ve.
Đừng để nó lừa dối mày.,Dung de no lua doi may.
Đừng để chúng nó xem mày là trò đùa.,Dung de chung no xem may la tro dua.
Đừng để tụi nó chơi mày.,Dung de tui no choi may.
Đừng để các bạn đó làm bạn trở thành tên ngốc.,Dung de cac ban do lam ban tro thanh ten ngoc.
Đừng có tin bất kỳ ai ở đây hết.,Dung co tin bat ky ai o day het.
Vẽ một đường từ A đến B.,Ve mot duong tu A den B.
Mọi thứ đều được kết nối.,Moi thu deu duoc ket noi.
Phòng bệnh hơn chữa bệnh.,Phong benh hon chua benh.
Đưa tôi cái đèn pin của cậu.,Dua toi cai den pin cua cau.
Có ai thấy chìa khóa của tôi không?,Co ai thay chia khoa cua toi khong?
Có ai nhìn thấy những cái chìa khóa của tôi không?,Co ai nhin thay nhung cai chia khoa cua toi khong?
Bạn vẫn chưa ăn trưa à?,Ban van chua an trua a?
Nó đã ăn hết tất cả táo.,No da an het tat ca tao.
Ông ấy đã ăn hết tất cả táo.,Ong ay da an het tat ca tao.
Anh ta đã ăn hết tất cả táo.,Anh ta da an het tat ca tao.
Thậm chí anh ta còn có nhiều táo hơn.,Tham chi anh ta con co nhieu tao hon.
Ông ấy còn có nhiều táo hơn.,Ong ay con co nhieu tao hon.
Ông ấy là một nhà soạn nhạc nổi tiếng.,Ong ay la mot nha soan nhac noi tieng.
Anh ấy là một nhà soạn nhạc nổi tiếng.,Anh ay la mot nha soan nhac noi tieng.
Ổng là một nhà soạn nhạc nổi tiếng.,Ong la mot nha soan nhac noi tieng.
Ông ấy đang vẽ một bức tranh.,Ong ay dang ve mot buc tranh.
Anh ấy gặp được một người trẻ tuổi tốt bụng.,Anh ay gap duoc mot nguoi tre tuoi tot bung.
Anh ta có vẻ thất vọng.,Anh ta co ve that vong.
"Trước đây, anh ấy từng là một người hay dậy sớm.","Truoc day, anh ay tung la mot nguoi hay day som."
Anh ta bị khởi tố vì tội trộm cắp tài sản.,Anh ta bi khoi to vi toi trom cap tai san.
Ông ta đã bị khởi tố vì tội trộm cắp tài sản.,Ong ta da bi khoi to vi toi trom cap tai san.
Anh ấy đang lẩm bẩm cái gì đó.,Anh ay dang lam bam cai gi do.
Nó là em trai tôi.,No la em trai toi.
Tôi định gặp anh ấy lúc 10 giờ.,Toi dinh gap anh ay luc 10 gio.
Tôi đến để xin lỗi.,Toi den de xin loi.
Tôi có thể nói với Tom bất cứ điều gì.,Toi co the noi voi Tom bat cu dieu gi.
Tôi không thể chịu được anh ta.,Toi khong the chiu duoc anh ta.
Tôi không thể tháo được nút thắt này.,Toi khong the thao duoc nut that nay.
Tôi không tháo được nút thắt này.,Toi khong thao duoc nut that nay.
Tôi không ăn lõi táo đâu.,Toi khong an loi tao dau.
Tôi không ăn lõi táo.,Toi khong an loi tao.
Tôi không biết cả hai thằng.,Toi khong biet ca hai thang.
Tôi không muốn ôm bạn.,Toi khong muon om ban.
Tôi không muốn ôm bạn đâu.,Toi khong muon om ban dau.
Tôi được điểm B môn đại số.,Toi duoc diem B mon dai so.
Tôi đã mơ thấy anh ấy.,Toi da mo thay anh ay.
Tôi có một tuổi thơ hạnh phúc.,Toi co mot tuoi tho hanh phuc.
Tôi từng có vấn đề giống như vậy.,Toi tung co van de giong nhu vay.
Tôi hơi bị đau ở đây.,Toi hoi bi dau o day.
Tôi có một câu hỏi khác.,Toi co mot cau hoi khac.
Bây giờ tôi không mang theo tiền.,Bay gio toi khong mang theo tien.
Bây giờ tôi không có tiền trong người.,Bay gio toi khong co tien trong nguoi.
Tôi có con át chuồn.,Toi co con at chuon.
Tôi phải giấu cái túi này.,Toi phai giau cai tui nay.
Tôi phải giấu chiếc túi này.,Toi phai giau chiec tui nay.
Tôi biết Tom là một họa sĩ.,Toi biet Tom la mot hoa si.
Tôi biết Tom không phải là một người ngu ngốc.,Toi biet Tom khong phai la mot nguoi ngu ngoc.
Tôi cho Tom mượn một cái đèn pin.,Toi cho Tom muon mot cai den pin.
Tôi thích xem phim Hollywood.,Toi thich xem phim Hollywood.
Tôi thích coi phim Hollywood.,Toi thich coi phim Hollywood.
Tôi thích quay trở lại đây.,Toi thich quay tro lai day.
Tôi thích nghiên cứu lịch sử.,Toi thich nghien cuu lich su.
Tôi thích thấy bạn cười,Toi thich thay ban cuoi
Tôi cần phải quay về nhà.,Toi can phai quay ve nha.
Tôi thanh toán cho anh ấy năm đô la.,Toi thanh toan cho anh ay nam do la.
Tôi đã trả cho anh ấy 5 Đô-la.,Toi da tra cho anh ay 5 Do-la.
Tôi đã hứa với Tom là tôi sẽ đợi.,Toi da hua voi Tom la toi se doi.
Tôi đã hứa với Tom là tôi sẽ chờ đợi.,Toi da hua voi Tom la toi se cho doi.
Tôi thật sự nhớ nước Úc.,Toi that su nho nuoc Uc.
Tôi thực sự nhớ nước Úc.,Toi thuc su nho nuoc Uc.
Tôi thấy nỗi sợ trong mắt của bạn.,Toi thay noi so trong mat cua ban.
Đáng lẽ tôi nên ở nhà.,Dang le toi nen o nha.
Đáng lẽ ra tôi nên ở nhà.,Dang le ra toi nen o nha.
Tôi đáng lẽ nên ở nhà.,Toi dang le nen o nha.
Tôi đáng lẽ ra nên ở nhà thì tốt biết mấy.,Toi dang le ra nen o nha thi tot biet may.
Tối qua tôi ngủ ngon.,Toi qua toi ngu ngon.
Hầu như ngày nào tôi cũng đi bơi.,Hau nhu ngay nao toi cung di boi.
Tôi nghĩ là tôi thấy cái gì đó.,Toi nghi la toi thay cai gi do.
Tôi cứ tưởng là Mary yêu tôi.,Toi cu tuong la Mary yeu toi.
Tôi đã bảo Tom giúp Mary.,Toi da bao Tom giup Mary.
Tôi muốn yêu ai đó.,Toi muon yeu ai do.
Tôi muốn một người để yêu.,Toi muon mot nguoi de yeu.
Tôi muốn chơi cờ đam.,Toi muon choi co dam.
Tôi muốn được gặp lại bạn thêm một lần nữa.,Toi muon duoc gap lai ban them mot lan nua.
Anh muốn được gặp lại em.,Anh muon duoc gap lai em.
Tôi muốn tát chính mình.,Toi muon tat chinh minh.
Tôi ở đây từ đó đến giờ.,Toi o day tu do den gio.
Lúc đó tôi không nhìn bạn.,Luc do toi khong nhin ban.
Tôi ước gì chúng ta có thêm thời gian.,Toi uoc gi chung ta co them thoi gian.
Tôi muốn biết nơi Tom đã đến.,Toi muon biet noi Tom da den.
Tôi muốn ba cái loại này.,Toi muon ba cai loai nay.
Tôi sẽ báo cho bạn sau.,Toi se bao cho ban sau.
Tao sẽ báo cho mày sau.,Tao se bao cho may sau.
Hôm nay tôi sẽ ở nhà.,Hom nay toi se o nha.
Tôi e là bạn đã sai.,Toi e la ban da sai.
Tôi không biết nói gì.,Toi khong biet noi gi.
Tôi không còn gì để nói cả.,Toi khong con gi de noi ca.
tôi không nói lên lời,toi khong noi len loi
Tôi đến từ bờ biển phía tây.,Toi den tu bo bien phia tay.
Tôi làm việc cho chính phủ.,Toi lam viec cho chinh phu.
Tôi học lớp 8.,Toi hoc lop 8.
Bây giờ tôi đang tìm Tom.,Bay gio toi dang tim Tom.
Tôi vô cùng tự hào về đội của tôi.,Toi vo cung tu hao ve doi cua toi.
Tôi vẫn không tin điều đó.,Toi van khong tin dieu do.
Tôi đã gặp anh ấy không biết bao nhiêu lần.,Toi da gap anh ay khong biet bao nhieu lan.
Có cần hỏi nhiều vậy không?,Co can hoi nhieu vay khong?
Hôm nay trời khá ấm.,Hom nay troi kha am.
nó có thể đóng băng vào tuần tới,no co the dong bang vao tuan toi
Đó là một buổi chiều bận rộn,Do la mot buoi chieu ban ron
Cái này đọc rất hay.,Cai nay doc rat hay.
Chắc có lẽ trời sắp mưa rồi.,Chac co le troi sap mua roi.
Hãy để Tom gửi bức thư.,Hay de Tom gui buc thu.
Hãy thử cái gì đó mới mẻ đi.,Hay thu cai gi do moi me di.
Chúng ta hãy thử cái gì đó mới mẻ đi.,Chung ta hay thu cai gi do moi me di.
Mary biết nói tiếng Nhật.,Mary biet noi tieng Nhat.
Mary có thể nói tiếng Nhật.,Mary co the noi tieng Nhat.
Maria vừa trở về nhà.,Maria vua tro ve nha.
Mary có một mái tóc rất dài.,Mary co mot mai toc rat dai.
Có lẽ nó không tệ đến thế.,Co le no khong te den the.
Có lẽ nó không tệ đến thế đâu.,Co le no khong te den the dau.
Có lẽ chúng ta nên hỏi Tom.,Co le chung ta nen hoi Tom.
Có lẽ chúng tôi nên hỏi Tom.,Co le chung toi nen hoi Tom.
Chúng ta có lẽ nên hỏi Tom.,Chung ta co le nen hoi Tom.
Anh tôi là giáo viên.,Anh toi la giao vien.
Em tôi là giáo viên.,Em toi la giao vien.
Anh trai tôi là một giáo viên.,Anh trai toi la mot giao vien.
Em trai tôi là một giáo viên.,Em trai toi la mot giao vien.
Bố mẹ tôi đã ly hôn.,Bo me toi da ly hon.
"Ồ, tôi đã nhắc tới nó chưa vậy?","O, toi da nhac toi no chua vay?"
"Ồ, tôi đã nhắc tới nó chưa nhỉ?","O, toi da nhac toi no chua nhi?"
Ở đây mọi người không hút thuốc.,O day moi nguoi khong hut thuoc.
Người ta không hút thuốc ở đây.,Nguoi ta khong hut thuoc o day.
Hãy xóa tệp tin này.,Hay xoa tep tin nay.
Hãy xóa tệp này.,Hay xoa tep nay.
Hãy xóa file này.,Hay xoa file nay.
Hãy xóa file này đi.,Hay xoa file nay di.
Làm ơn báo cho tôi biết.,Lam on bao cho toi biet.
Hãy cho tôi xem cái kia.,Hay cho toi xem cai kia.
Làm ơn cho xem vé.,Lam on cho xem ve.
Quyền lực mang đến tham nhũng.,Quyen luc mang den tham nhung.
Nó nhìn tôi và cười ngượng ngịu.,No nhin toi va cuoi nguong ngiu.
Nó cười thẹn thùng với tôi.,No cuoi then thung voi toi.
Cô ấy phải ngưng hút thôi.,Co ay phai ngung hut thoi.
Cô ấy phải dừng hút thuốc lá.,Co ay phai dung hut thuoc la.
Cô ta cũng trẻ như tôi vậy.,Co ta cung tre nhu toi vay.
Cô ấy đang mặc một cái váy màu xanh lục.,Co ay dang mac mot cai vay mau xanh luc.
Bà ta hẳn là trên 80 tuổi rồi.,Ba ta han la tren 80 tuoi roi.
Nó có vẻ rất phấn khích.,No co ve rat phan khich.
Cô ấy sẽ thử lại lần nữa.,Co ay se thu lai lan nua.
Có ai đó đang hoặc đã ở đây.,Co ai do dang hoac da o day.
Nói cho tôi nghe chuyện gì đang xảy ra.,Noi cho toi nghe chuyen gi dang xay ra.
Cám ơn vì đã gặp chúng tôi.,Cam on vi da gap chung toi.
Đó là ý tưởng ban đầu.,Do la y tuong ban dau.
Đó không phải là cách nó hoạt động.,Do khong phai la cach no hoat dong.
Đó là lý do mà tôi đã vắng mặt.,Do la ly do ma toi da vang mat.
Cái hộp đó được làm từ gỗ.,Cai hop do duoc lam tu go.
Con búp bê bị hỏng đó là của tôi.,Con bup be bi hong do la cua toi.
Tiền phí là không có thật.,Tien phi la khong co that.
Tin tức khiến nó rất vui.,Tin tuc khien no rat vui.
Thiếu một cái nĩa.,Thieu mot cai nia.
Những cái này là sách của thư viện.,Nhung cai nay la sach cua thu vien.
Những món quà này là dành cho bạn.,Nhung mon qua nay la danh cho ban.
Mọi thứ thay đổi hàng ngày.,Moi thu thay doi hang ngay.
Quyển sách này rất nặng.,Quyen sach nay rat nang.
Tom và Mary trông có vẻ hạnh phúc.,Tom va Mary trong co ve hanh phuc.
Tom khó mà làm được động tác gập bụng.,Tom kho ma lam duoc dong tac gap bung.
Tom yêu cầu một lời xin lỗi.,Tom yeu cau mot loi xin loi.
Tom đã mất vào năm 97 tuổi.,Tom da mat vao nam 97 tuoi.
Tom đã qua đời vào năm 97 tuổi.,Tom da qua doi vao nam 97 tuoi.
Cuối cùng Tom đã không tới.,Cuoi cung Tom da khong toi.
Tom chối là đã gian lận.,Tom choi la da gian lan.
Tom vẫn chưa đến.,Tom van chua den.
Tom vẫn chưa tới.,Tom van chua toi.
Tom là một sinh viên sáng giá.,Tom la mot sinh vien sang gia.
Tom là một người chơi violon giỏi.,Tom la mot nguoi choi violon gioi.
Tom bị mất một ngón tay.,Tom bi mat mot ngon tay.
Tom đang đi giày thể thao.,Tom dang di giay the thao.
Tom không giận Mary.,Tom khong gian Mary.
Tom mất rất nhiều tiền.,Tom mat rat nhieu tien.
Tom làm bánh quy tuyệt ngon.,Tom lam banh quy tuyet ngon.
Tom rất thích Chopin.,Tom rat thich Chopin.
Tom là một fan cuồng của nhạc sỹ Chopin.,Tom la mot fan cuong cua nhac sy Chopin.
Tom ngồi xuống và chờ đợi.,Tom ngoi xuong va cho doi.
Tom nói là anh ấy bận.,Tom noi la anh ay ban.
Tom nói anh ấy bận.,Tom noi anh ay ban.
Tom có vẻ không may.,Tom co ve khong may.
Tom hiếm khi ăn hải sản.,Tom hiem khi an hai san.
Tom bóp chặt miếng bọt biển.,Tom bop chat mieng bot bien.
Tom bóp chặt miếng bọt biển đó.,Tom bop chat mieng bot bien do.
Tom vẫn nợ tiền tôi.,Tom van no tien toi.
Tom vẫn đang nợ tiền tôi.,Tom van dang no tien toi.
Tom kể cho tôi những gì anh ta đã thấy.,Tom ke cho toi nhung gi anh ta da thay.
Tom yêu cầu chúng tôi giữ im lặng.,Tom yeu cau chung toi giu im lang.
Tom đã bật đèn lên.,Tom da bat den len.
Tom bật đèn lên.,Tom bat den len.
Tom là một người lính dũng cảm.,Tom la mot nguoi linh dung cam.
Tom bị buộc tội oan.,Tom bi buoc toi oan.
Tom đã bị buộc tội oan.,Tom da bi buoc toi oan.
Tom đã quá mệt mỏi với công việc.,Tom da qua met moi voi cong viec.
Tom sẽ cố ngăn cản tôi.,Tom se co ngan can toi.
Tom mặc một chiếc áo khoác trắng.,Tom mac mot chiec ao khoac trang.
Những đứa con của Tom bị ốm.,Nhung dua con cua Tom bi om.
Những đứa con của Tom bị bệnh.,Nhung dua con cua Tom bi benh.
Tất cả chúng tôi cùng đứng dậy.,Tat ca chung toi cung dung day.
Chúng tôi thấy ngồi nhà rung lắc.,Chung toi thay ngoi nha rung lac.
Chúng tôi đã nhìn thấy ánh sáng ở cách xa.,Chung toi da nhin thay anh sang o cach xa.
Tụi tao đã nhìn thấy ánh sáng ở xa xa,Tui tao da nhin thay anh sang o xa xa
Chúng ta sẽ đến đó đúng giờ.,Chung ta se den do dung gio.
Chúng ta sẽ đến đó kịp giờ.,Chung ta se den do kip gio.
Chúng tôi sẽ đợi Tom ở đây.,Chung toi se doi Tom o day.
Chúng ta sẽ đợi Tom ở đây.,Chung ta se doi Tom o day.
Tất cả chúng ta đều cố gắng để chiến thắng.,Tat ca chung ta deu co gang de chien thang.
Khởi đầu tốt là coi như xong một nửa.,Khoi dau tot la coi nhu xong mot nua.
Ý bạn là sao?,Y ban la sao?
Bạn đang nhìn cái gì vậy?,Ban dang nhin cai gi vay?
Bạn đang nhìn cái gì thế?,Ban dang nhin cai gi the?
Chính xác là bạn đã làm gì?,Chinh xac la ban da lam gi?
Thực ra bạn đã làm gì?,Thuc ra ban da lam gi?
Thực sự là bạn đã làm cái gì?,Thuc su la ban da lam cai gi?
Thực sự là bạn đã làm cái gì?,Thuc su la ban da lam cai gi?
Nếu không có gì xảy ra thì sẽ thế nào?,Neu khong co gi xay ra thi se the nao?
Nhóm máu của bạn là nhóm nào?,Nhom mau cua ban la nhom nao?
Điều gì đưa bạn tới đây?,Dieu gi dua ban toi day?
Bạn muốn ăn khi nào?,Ban muon an khi nao?
Lúc nào bạn muốn ăn?,Luc nao ban muon an?
Phúc bất trùng lai.,Phuc bat trung lai.
"Phúc bất trùng lai, họa vô đơn chí.","Phuc bat trung lai, hoa vo don chi."
Tôi có thể tìm thấy ATM ở đâu.,Toi co the tim thay ATM o dau.
Tôi có thể tìm thấy cây ATM ở đâu.,Toi co the tim thay cay ATM o dau.
Ai ở trong đó với bạn thế?,Ai o trong do voi ban the?
Sao bạn lại tin Tom chứ?,Sao ban lai tin Tom chu?
Sao bạn tin Tom thế?,Sao ban tin Tom the?
Sao bạn lại tin Tom vậy?,Sao ban lai tin Tom vay?
Tại sao bạn lại tin Tom?,Tai sao ban lai tin Tom?
Tại sao mọi người lại nói dối?,Tai sao moi nguoi lai noi doi?
Tại sao mọi người lại nói xạo?,Tai sao moi nguoi lai noi xao?
Tại sao mọi người lại nói láo?,Tai sao moi nguoi lai noi lao?
Tại sao mọi người nói dối?,Tai sao moi nguoi noi doi?
Bạn muốn biết để làm gì?,Ban muon biet de lam gi?
Sao bạn không ở đây?,Sao ban khong o day?
Bạn cao bằng tôi.,Ban cao bang toi.
Bạn không thể mua được hạnh phúc.,Ban khong the mua duoc hanh phuc.
Bạn không đến cũng được mà.,Ban khong den cung duoc ma.
Bạn có đôi chân rất sexy.,Ban co doi chan rat sexy.
